Day,Attraction,Location
Day 1,Disneyland Park,1313 Disneyland Dr
Day 1,Bowers Museum,2002 N Main St
Day 1,Fullerton Arboretum,1900 Associated Rd
Day 2,Brea Christmas Light Neighborhood,2960-2970 Primrose Ave
Day 2,Balboa Fun Tours & Rentals,2000 W Balboa Blvd
Day 2,Tustin Library,345 E Main St
Day 3,LA in a Day Tours,
Day 3,Richard Nixon Presidential Library & Museum,18001 Yorba Linda Blvd
Day 3,Fullerton Arboretum,1900 Associated Rd
Day 4,Star Helicopters,3670 W 120th St
Day 4,Davey's Locker Sport Fishing & Whale Watching,400 Main St
Day 4,Another Side Of Los Angeles Tours,1080 S La Cienega Blvd
Day 5,Marconi Automotive Museum,1302 Industrial Dr
Day 5,Ayres Hotel Anaheim,2550 E Katella Ave
Day 5,Capt Dave's Dana Point Dolphin & Whale Watching Safari,24440 Dana Point Harbor Dr
